Province,year,gdpr_billion_idr,gdpr_percap_thousand_idr,population,gen_gwh,dist_gwh,gWh_cons_percap,capacity_mw,Region
KEP. RIAU,2019,181895.86,83070.63,2189653.06992375,3159.62,3346.31,1528.23753039404,1005.94,SUMATERA
DKI JAKARTA,2018,1735208.29,165769,10467628.386489633,17975.7,32779.19,3131.4820119433616,4183.74,JAVA
DKI JAKARTA,2019,1836198.49,173918.5,10557810.066209173,13665.8,34107.88,3230.58283735981,3504.3,JAVA
JAWA BARAT,2018,1419624.14,29160.06,48683855.245839685,42061.38,52878.86,1086.1682940469018,9697.06,JAVA
JAWA BARAT,2019,1491575.95,30244.84,49316708.23849622,43032.21,54480.28,1104.7022793275796,10273.56,JAVA
JAWA TENGAH,2018,941091.14,27285.25,34490838.090176925,40798.65,23558.02,683.0225446655464,7150.68,JAVA
JAWA TENGAH,2019,991913.12,28570.4,34718209.055525996,42131.6,24750.62,712.9002524414639,7162.82,JAVA
DI YOGYAKARTA,2018,98024.01,25776.31,3802872.094570557,0,2856.95,751.2611334151704,0,JAVA
DI YOGYAKARTA,2019,104487.54,27189.54,3842931.509690859,0,2856.95,743.4298510903789,0,JAVA
JAWA TIMUR,2018,1563441.83,39579.95,39500854.0940552,55442.04,35817.9,906.7626718833536,9396.5,JAVA
JAWA TIMUR,2019,1649768.12,41557.31,39698626.30665941,57028.55,37228.94,937.7891242991166,11072.58,JAVA
BANTEN,2018,433782.71,34183.75,12689734.449848246,48389.44,23736.3,1870.5119554557627,8052.3,JAVA
BANTEN,2019,456740.83,35331.45,12927316.314501671,47925.99,24646.11,1906.5140358909885,7653.14,JAVA
BALI,2018,154072.66,35896.35,4292153.937656614,3058.25,5247.16,1222.500421982719,786.84,NUSA TENGGARA
BALI,2019,162694.33,37513.77,4336922.948559956,4066.01,5706.73,1315.8476799535667,1041.52,NUSA TENGGARA
NUSA TENGGARA BARAT,2018,90349.13,18020.5,5013686.079742515,1579.43,1776.81,354.39195269506195,624.93,NUSA TENGGARA
NUSA TENGGARA BARAT,2019,93869.73,18513.33,5070386.0407609,2116.28,1950.25,384.635407308618,795.75,NUSA TENGGARA
NUSA TENGGARA TIMUR,2018,65929.19,12273.85,5371516.679770406,634.53,927.41,172.65328496376188,331.21,NUSA TENGGARA
NUSA TENGGARA TIMUR,2019,69385.99,12716.9,5456203.162720474,685.71,999.49,183.18416125503146,333.42,NUSA TENGGARA
KALIMANTAN BARAT,2018,130596.32,26110.57,5001664.843011853,848.94,2373.12,474.4660177132097,778.82,KALIMANTAN
KALIMANTAN BARAT,2019,137243.09,27074.3,5069127.918358,729.5,2572.69,507.521222868124,804.92,KALIMANTAN
KALIMANTAN TENGAH,2018,94566.25,35548.43,2660208.903740615,355.86,1223.79,460.03529958838385,485.48,KALIMANTAN
KALIMANTAN TENGAH,2019,100357.57,36966.03,2714859.2910842737,349.29,1358.77,500.4937104704708,256.51,KALIMANTAN
KALIMANTAN SELATAN,2018,128052.58,30614.85,4182694.9993222244,6103.4,2602.39,622.1801973181641,2790.84,KALIMANTAN
KALIMANTAN SELATAN,2019,133271.55,31401.63,4244096.564414012,6516.25,2819.16,664.2544431335871,3050.81,KALIMANTAN
KALIMANTAN TIMUR,2018,464694.43,127354.2,3648834.7459290703,2951.67,3637.27,996.8305646228641,1192.23,KALIMANTAN
KALIMANTAN TIMUR,2019,486712.24,130787.8,3721388.6922174697,2735.56,3952.88,1062.2056245472684,785.85,KALIMANTAN
KALIMANTAN UTARA,2018,57459.31,80204.84,716407.014838506,306.1,183.32,255.88805832858068,238.2,KALIMANTAN
KALIMANTAN UTARA,2019,61422.64,82752.52,742244.9491568353,306.1,264.55,356.4187271338386,238.2,KALIMANTAN
SULAWESI UTARA,2018,84249.72,33911.6,2484392.361315892,1135.4,1676.89,674.9698743687219,557.22,SULAWESI
SULAWESI UTARA,2019,89009.26,35504.56,2506981.0751069724,918.89,1787.87,713.1565601960964,295.5,SULAWESI
SULAWESI TENGAH,2018,117555.83,39049.35,3010442.6834249482,1580.44,1171.08,389.0059114720214,1718.47,SULAWESI
SULAWESI TENGAH,2019,127935.06,41890.67,3054022.76927058,1670.77,1146.23,375.3180924298625,1746.21,SULAWESI
SULAWESI SELATAN,2018,309156.19,35243.64,8771971.05633811,6562.54,5472.48,623.8597875953898,2953.94,SULAWESI
SULAWESI SELATAN,2019,330506.38,37340.12,8851240.435220882,7828.13,5945.56,671.7205394558496,2995.6,SULAWESI
SULAWESI TENGGARA,2018,88310.05,33278.66,2653654.0233290642,309.42,911.73,343.57530860643834,293.38,SULAWESI
SULAWESI TENGGARA,2019,94053.39,34773.58,2704737.0446183565,94.27,986.89,364.8746564711809,148.92,SULAWESI
GORONTALO,2018,26719.27,22538.55,1185491.9682055856,189.78,503.49,424.70975215640243,57.91,SULAWESI
GORONTALO,2019,28428.44,23638.54,1202630.9577495055,109.86,543.84,452.2085486787176,57.41,SULAWESI
SULAWESI BARAT,2018,31114.14,22953.08,1355554.0258649383,44.25,345.28,254.71504153417067,63.22,SULAWESI
SULAWESI BARAT,2019,32877.78,23820.06,1380255.9691285412,2.7,380.08,275.36921303080686,67.77,SULAWESI
MALUKU,2018,29457.13,16607.02,1773775.7887929322,617.38,597.37,336.7787539858771,297.06,MALUKU
MALUKU,2019,31049.43,17222.22,1802870.3616606917,617.38,519.13,287.94638318964314,363.43,MALUKU
MALUKU UTARA,2018,25034.08,20309.45,1232632.0998352983,177.4,401.48,325.7095122329241,88.36,MALUKU
MALUKU UTARA,2019,26561.31,21151.39,1255771.3701085367,177.4,537.52,428.0396995780705,120.27,MALUKU
PAPUA BARAT,2018,60465.52,64499.45,937457.9163078135,321.37,569.02,606.9819136426843,121.09,PAPUA
PAPUA BARAT,2019,62072.75,64684.93,959616.8690296179,537.47,510.01,531.4725245667382,147.92,PAPUA
PAPUA,2018,159711.85,48069.41,3322525.6977358363,1139.7,916.96,275.98281651361503,550.02,PAPUA
PAPUA,2019,134562.24,39819.54,3379301.719708464,1083.85,1057.65,312.9788600501895,580.64,PAPUA
INDONESIA,2018,10425851.9,39340.61,265015003.58026984,274895.25,239012.04,901.8811643530444,63946.6,NATIONAL
INDONESIA,2019,10949037.8,40843.19,268074991.204164,281757.99,247653.33,923.821087851455,66607.83,NATIONAL
