Province,year,gdpr_billion_idr,gdpr_percap_thousand_idr,population,gen_gwh,dist_gwh,gWh_cons_percap,capacity_mw,Region
BENGKULU,2012,32363.04,18143.51,1783725.420274247,88.63,566.95,317.84600564409277,24.04,SUMATERA
BENGKULU,2013,34326.37,18919.3,1814357.2965173132,75.25,641.52,353.57975037849906,24.04,SUMATERA
BENGKULU,2014,36207.15,19626.72,1844788.6350852307,81.04,729.64,395.5141451564125,43.54,SUMATERA
LAMPUNG,2012,170769.21,21794.83,7835308.190061587,41.53,2793.36,356.50926960896527,124.79,SUMATERA
LAMPUNG,2013,180620.01,22770.68,7932130.704924052,40.56,3182.21,401.179723125915,124.79,SUMATERA
LAMPUNG,2014,189797.49,23647.27,8026190.338250462,40.59,3392.44,422.67126208465663,121.21,SUMATERA
KEP. BANGKA BELITUNG,2012,40104.91,31172.42,1286551.0602000102,744.45,664.72,516.6681840802037,111.46,SUMATERA
KEP. BANGKA BELITUNG,2013,42190.86,32081.3,1315123.140271747,802.32,721.24,548.4201272977133,106.46,SUMATERA
KEP. BANGKA BELITUNG,2014,44159.44,32859.64,1343880.8215792992,927.95,805.43,599.3314191756054,234.71,SUMATERA
KEP. RIAU,2012,128034.97,70930,1805089.1019314819,2345.35,2190.04,1213.258668315383,371.43,SUMATERA
KEP. RIAU,2013,137263.85,73743.33,1861373.0896068837,2166.16,2421.92,1301.1469938632788,381.21,SUMATERA
KEP. RIAU,2014,146325.23,76313.81,1917414.8165318964,3530.02,2618.48,1365.630419366503,736.48,SUMATERA
DKI JAKARTA,2012,1222527.92,123962.38,9862088.159327047,5526.4,38168.75,3870.250334753091,1448.49,JAVA
DKI JAKARTA,2013,1296694.57,130060.31,9969948.326280324,5433.79,39937.28,4005.7659972747474,1448,JAVA
DKI JAKARTA,2014,1373389.13,136312.34,10075310.349745298,4115.58,41269.03,4096.055463050156,1348,JAVA
JAWA BARAT,2012,1028409.74,23036,44643590.03299184,17378.85,36655.28,821.0647927935804,4013.05,JAVA
JAWA BARAT,2013,1093543.55,24118.31,45340803.3149918,21615.84,39092.56,862.193810912789,3998.74,JAVA
JAWA BARAT,2014,1149216.06,24966.86,46029659.31638981,20849.37,43096.46,936.2758847240614,4076.66,JAVA
JAWA TENGAH,2012,691343.12,20950.62,32998695.026686564,27271.44,16600.42,503.062923748196,5168.49,JAVA
JAWA TENGAH,2013,726655.12,21844.87,33264337.118966606,27916.22,18205.08,547.2852182471377,5153.86,JAVA
JAWA TENGAH,2014,764959.15,22819.16,33522669.107890036,27133.45,19631.46,585.6174499953363,5154.85,JAVA
DI YOGYAKARTA,2012,71702.45,20183.88,3552461.1719847717,0,2043.75,575.3053731078925,0.32,JAVA
DI YOGYAKARTA,2013,75627.45,21037.7,3594853.5248625088,0,2205.79,613.596627719168,0.32,JAVA
DI YOGYAKARTA,2014,79536.08,21867.9,3637115.5895170546,0,2369.6,651.505277101914,0.32,JAVA
JAWA TIMUR,2012,1124464.64,29508.4,38106594.7323474,51753.79,26910.18,706.1817039546926,11595.42,JAVA
JAWA TIMUR,2013,1192789.8,31092.04,38363188.777577795,54548.64,28708.11,748.3243941593063,11547.76,JAVA
JAWA TIMUR,2014,1262684.5,32703.39,38610202.18393262,56631.27,30523.98,790.5677327093189,14668.05,JAVA
BANTEN,2012,310385.59,27716.47,11198597.440438842,46317.37,8457.8,755.2552937976277,11323.54,JAVA
BANTEN,2013,331099.11,28910.66,11452492.264099125,52860.36,9750.37,851.3753840781994,11703.54,JAVA
BANTEN,2014,349351.23,29846.64,11704876.32778765,63695.13,8562.97,731.5728727241062,12873.34,JAVA
BALI,2012,106951.46,26689.58,4007236.5320098703,1951.83,3546.6,885.0488289547427,453.87,NUSA TENGGARA
BALI,2013,114103.58,28129.67,4056342.6446168763,2271.2,3914.32,964.987512875582,454.02,NUSA TENGGARA
BALI,2014,121787.57,29668.9,4104889.968957393,2374.48,4335.03,1056.06484772625,441.89,NUSA TENGGARA
NUSA TENGGARA BARAT,2012,66340.81,14276.69,4646792.078556024,1118.46,976.39,210.12130164072462,172.7,NUSA TENGGARA
NUSA TENGGARA BARAT,2013,69766.71,14809.84,4710834.823333675,1311.72,1133.33,240.57943920818397,170.04,NUSA TENGGARA
NUSA TENGGARA BARAT,2014,73372.96,15369.94,4773796.1241228,1476.01,1291.47,270.5331284413223,445.39,NUSA TENGGARA
NUSA TENGGARA TIMUR,2012,48863.19,10030.98,4871227.935854723,643.87,567.32,116.46344771186652,158.69,NUSA TENGGARA
NUSA TENGGARA TIMUR,2013,51505.19,10396.76,4953965.466164459,717.66,639.57,129.10263593241768,160.54,NUSA TENGGARA
NUSA TENGGARA TIMUR,2014,54107.97,10742.32,5036897.988516447,730.93,702.26,139.42311351174328,272.8,NUSA TENGGARA
KALIMANTAN BARAT,2012,96161.93,21062.22,4565612.266893043,1852.69,1603.72,351.2606647807506,239.55,KALIMANTAN
KALIMANTAN BARAT,2013,101980.34,21971.93,4641391.994239924,2116.47,1889.39,407.0739989952965,243.03,KALIMANTAN
KALIMANTAN BARAT,2014,107114.96,22712.65,4716092.573962087,2225.89,1862.44,394.9116712175405,508.09,KALIMANTAN
KALIMANTAN TENGAH,2012,64649.17,27749.01,2329782.936400254,611.26,752.34,322.92278746038033,79.01,KALIMANTAN
KALIMANTAN TENGAH,2013,69410.99,29106.4,2384732.910974906,615.2,854.78,358.4384633038659,76,KALIMANTAN
KALIMANTAN TENGAH,2014,73724.52,30216.73,2439857.655014292,602.42,970.16,397.62975434495877,76,KALIMANTAN
KALIMANTAN SELATAN,2012,96697.84,25547.77,3784981.6246192916,2331.42,1688.44,446.08935193174943,468.92,KALIMANTAN
KALIMANTAN SELATAN,2013,101850.54,26423.9,3854485.5225761523,2690.52,1880.66,487.91466175829805,478.32,KALIMANTAN
KALIMANTAN SELATAN,2014,106779.4,27220.27,3922789.891503648,3124.21,2092.23,533.3525521036829,645.41,KALIMANTAN
KALIMANTAN TIMUR,2012,469646.25,124501.88,3772202.0743783144,2675.06,2502.32,663.3578876901498,424.88,KALIMANTAN
KALIMANTAN TIMUR,2013,438532.91,133868.68,3275843.9838205623,3636.9,2731.58,833.8553403310141,518.5,KALIMANTAN
KALIMANTAN TIMUR,2014,446029.05,133086.11,3351432.0164591186,3063.27,2815.55,840.1035695107751,977.56,KALIMANTAN
KALIMANTAN UTARA,2012,0,0,NA,164.44,0,NA,31.22,KALIMANTAN
KALIMANTAN UTARA,2013,44091.7,74106.93,594974.0462868992,162.31,180.73,303.7611491255724,31.22,KALIMANTAN
KALIMANTAN UTARA,2014,47696.35,77152.6,618207.9411452109,206.06,199.37,322.49666613902326,84.82,KALIMANTAN
SULAWESI UTARA,2012,58677.59,25145.96,2333479.811468721,1841.21,1087.08,465.8621834468662,458.32,SULAWESI
SULAWESI UTARA,2013,62422.5,26445.86,2360388.355682137,1863.31,1192.52,505.22194668909447,345.19,SULAWESI
SULAWESI UTARA,2014,66360.76,27805.52,2386603.811041836,1916.15,1240.32,519.7008377601462,350.45,SULAWESI
SULAWESI TENGAH,2012,62249.53,22724.47,2739317.1325887907,803.14,686.19,250.49673578740274,189.18,SULAWESI
SULAWESI TENGAH,2013,68219.32,24490.98,2785487.555010049,916.27,758.7,272.37601497640253,198.09,SULAWESI
SULAWESI TENGAH,2014,71677.53,25316.27,2831283.20246229,1768.15,865.77,305.78714246849745,422.41,SULAWESI
SULAWESI SELATAN,2012,202184.59,24507.17,8250017.851918439,4237.42,3639.63,441.1663181011965,1045.81,SULAWESI
SULAWESI SELATAN,2013,217589.13,26083.42,8342047.553580014,4233.85,4156.49,498.2577686477261,1084.85,SULAWESI
SULAWESI SELATAN,2014,233988.05,27749.47,8432162.848515665,5254.27,4339.22,514.6034389935726,968.92,SULAWESI
SULAWESI TENGGARA,2012,59785.4,25489.79,2345464.5958244456,629.22,528.42,225.29438344144222,125.24,SULAWESI
SULAWESI TENGGARA,2013,64268.71,26815.36,2396712.5557889207,236.83,621.64,259.3719461678942,129.24,SULAWESI
SULAWESI TENGGARA,2014,68291.78,27896.05,2448080.6422414645,273.37,670.71,273.97381786651334,233.07,SULAWESI
GORONTALO,2012,17987.07,16650.27,1080286.9863371584,209.48,293.13,271.34456279427394,31.44,SULAWESI
GORONTALO,2013,19367.57,17639.12,1097989.5822467334,174.99,328.4,299.09209095410523,31.44,SULAWESI
GORONTALO,2014,20775.8,18622.44,1115632.5379488403,233.59,366.08,328.13671845127504,64.73,SULAWESI
SULAWESI BARAT,2012,20786.89,17169.06,1210718.000869005,7.68,177.63,146.71459404461177,6.39,SULAWESI
SULAWESI BARAT,2013,22227.39,18008.81,1234250.9027525971,7.42,207.59,168.19108621839993,12.39,SULAWESI
SULAWESI BARAT,2014,24195.65,19232.05,1258090.011205254,18.01,238.03,189.19949914550753,11.68,SULAWESI
MALUKU,2012,21000.08,13129.11,1599505.2216029875,608.88,397.49,248.50809777391325,135.06,MALUKU
MALUKU,2013,22100.94,13572.07,1628413.351832108,524.93,469.96,288.59994268117106,147.61,MALUKU
MALUKU,2014,23567.73,14219.62,1657409.2697273204,751.9,480.08,289.65688123548597,211.79,MALUKU
MALUKU UTARA,2012,17120.07,15691.01,1091075.080571614,107.89,235.88,216.19043840358128,44.6,MALUKU
MALUKU UTARA,2013,18208.74,16332.22,1114896.8113336705,245.01,259.1,232.3981891113828,49.6,MALUKU
MALUKU UTARA,2014,19208.76,16869.52,1138666.6603436256,138.5,309.37,271.6949663799225,65.7,MALUKU
PAPUA BARAT,2012,44423.34,55047.84,806995.1518533698,381.04,346.65,429.5564839564067,58.67,PAPUA
PAPUA BARAT,2013,47694.23,57581.36,828292.871165252,415.6,383.99,463.59206189931155,66.64,PAPUA
PAPUA BARAT,2014,50259.91,59142.59,849809.0800555066,324.34,430.63,506.73734854877375,102.8,PAPUA
PAPUA,2012,107890.94,36280.03,2973838.2244998147,678.74,600.67,201.98475998170002,96.25,PAPUA
PAPUA,2013,117118.82,38621.36,3032488.239668411,850.71,713.26,235.2061883273756,106.3,PAPUA
PAPUA,2014,121391.23,39271.88,3091047.079997189,974.65,724.78,234.4771791701921,242.44,PAPUA
INDONESIA,2012,7735785.46,31519.93,245425210.65243483,204205.42,174341.92,710.3667937639004,44841.54,NATIONAL
INDONESIA,2013,8179836.08,32874.76,248818123.08287573,22206.93,188342.41,756.9481180326538,45476.31,NATIONAL
INDONESIA,2014,8605809.67,34127.72,252164799.46506828,238019.1,199028.08,789.277807299868,53015.7,NATIONAL
ACEH,2015,112665.53,22524.31,5001952.557037263,618.26,2119,423.63456586943676,232.1,SUMATERA
ACEH,2017,121240.98,23362.9,5189466.204965993,568.2,2409.11,464.2307907689298,224.27,SUMATERA
