colnames(aprojection_data)
Province
year
Inflasi
"KebutuhanTambahan
Kapasitas(Kumulatif)"
"KebutuhanTambahan
Kapasitas(Pertahun)"
KebutuhanTenagaListrik
"KonsumsiListrik
PerKapita"
PertumbuhanEkonomi
"PertumbuhanKebutuhan
TenagaListrik"
PertumbuhanPenduduk
"ProduksiTenagaListrik
(Neto)**)"
RasioElektrifikasi
TotalKapasitas
