ref_value,predict_value,error_percent,region,year
158694.89,161151.8503669099,1.5482290368076042,INDONESIA,2011
174341.92,172451.35390375642,-1.084401328288454,INDONESIA,2012
188342.41,187683.94799788969,-0.34960899253137845,INDONESIA,2013
199028.08,199779.94530359708,0.3777684553843321,INDONESIA,2014
204279.97,205911.13461134088,0.7984946401455213,INDONESIA,2015
226014.06,226028.3362997908,0.006316553842181051,INDONESIA,2017
239012.04,238702.9651891085,-0.12931349018714683,INDONESIA,2018
247653.33,245850.12799342192,-0.7281153887888635,INDONESIA,2019
23036.88,23925.947695265866,3.859323377409897,SUMATERA,2011
25875.85,25001.161978158685,-3.380325754869168,SUMATERA,2012
28127.21,27290.779970677195,-2.9737397677295556,SUMATERA,2013
29641.08,30198.751839965913,1.8814153869086792,SUMATERA,2014
31251.95,32895.665811117186,5.259562398881301,SUMATERA,2015
34634.75,34672.29634257975,0.10840656444683378,SUMATERA,2017
36847.78,35112.74249806565,-4.70866223673271,SUMATERA,2018
36543.26,36855.0731449851,0.853271287195228,SUMATERA,2019
118274.87,120973.6848360542,2.2818159394757407,JAWA,2011
128836.18,127592.89147964663,-0.9650150449612571,JAWA,2012
137899.19,134785.44449470702,-2.257986798394528,JAWA,2013
145453.5,146063.11894880253,0.4191160396982724,JAWA,2014
147692.29,152175.17126076465,3.035284550577853,JAWA,2015
162887.55,165699.258811305,1.7261655733080874,JAWA,2017
171627.22,169695.6764196303,-1.1254296261220706,JAWA,2018
178070.78,173772.51767351344,-2.4137942937558616,JAWA,2019
4548.02,4631.690408452228,1.839710653256318,BALI_NT,2011
5090.3099999999995,4986.957983262985,-2.0303678309771764,BALI_NT,2012
5687.22,5538.481023671902,-2.615319546775015,BALI_NT,2013
6328.76,6420.668937099528,1.4522424155684206,BALI_NT,2014
6746.24,6943.515608331591,2.924230509611143,BALI_NT,2015
7602.43,7914.794714060632,4.108748308904281,BALI_NT,2017
7951.38,8034.79441147785,1.0490557799759297,BALI_NT,2018
8656.47,8161.19695728694,-5.721420425566763,BALI_NT,2019
5829.02,5786.950822564818,-0.7217195589512921,KALIMANTAN,2011
6546.820000000001,6585.7476840535055,0.5946044652748187,KALIMANTAN,2012
7537.14,7460.547818700727,-1.0161968770551397,KALIMANTAN,2013
7939.75,8248.736000923229,3.8916338791930336,KALIMANTAN,2014
8439.710000000001,8461.123524098386,0.25372345848832595,KALIMANTAN,2015
9377.8,9710.397948509002,3.546652183977083,KALIMANTAN,2017
10019.89,10008.102057327387,-0.11764542996591969,KALIMANTAN,2018
10968.05,10404.190333775754,-5.140929027714547,KALIMANTAN,2019
5636.87,5685.287923729045,0.8589505120580299,SULAWESI,2011
6412.08,6343.734877260811,-1.0658806929918032,SULAWESI,2012
7265.34,7301.302147065948,0.4949823004284403,SULAWESI,2013
7720.13,7759.977875874993,0.5161555035341697,SULAWESI,2014
8091.93,8169.573852227482,0.9595220451422843,SULAWESI,2015
9409.88,9519.288902877444,1.1627024242333075,SULAWESI,2017
10080.949999999999,10043.767732500724,-0.36883693996373884,SULAWESI,2018
10790.470000000001,10632.35834823502,-1.4652897581382525,SULAWESI,2019
1369.24,1362.9600608919854,-0.45864414624277405,MALUKU_PAPUA,2011
1580.69,1611.6265317756224,1.957153633895474,MALUKU_PAPUA,2012
1826.31,1815.7142135694419,-0.580174583206469,MALUKU_PAPUA,2013
1944.86,1925.0281860614673,-1.0197039343979828,MALUKU_PAPUA,2014
2057.85,2028.7916105122843,-1.4120751992475475,MALUKU_PAPUA,2015
2101.65,2196.7769632584705,4.52629901546263,MALUKU_PAPUA,2017
2484.83,2405.7300421993114,-3.1833146654172952,MALUKU_PAPUA,2018
2624.31,2650.0959772562646,0.9825812215883294,MALUKU_PAPUA,2019
315000,260518.82529861183,-17.295611016313707,INDONESIA,2020
355000,261722.50485895993,-26.275350743954952,INDONESIA,2021
375000,266585.9335668198,-28.910417715514715,INDONESIA,2022
399000,270267.3614569013,-32.26381918373401,INDONESIA,2023
429000,274257.2472822909,-36.07057172906972,INDONESIA,2024
460000,278913.891411363,-39.366545345355874,INDONESIA,2025
499000,278446.2342022493,-44.199151462475086,INDONESIA,2026
543000,283809.35557404894,-47.73308368802046,INDONESIA,2027
573000,289603.5139664891,-49.45837452591813,INDONESIA,2028
606000,294693.49649731326,-51.37071014895821,INDONESIA,2029
639000,299624.8193877207,-53.11035690333009,INDONESIA,2030
678000,304279.51385821693,-55.12101565513024,INDONESIA,2031
719000,309450.82177738124,-56.960942729154205,INDONESIA,2032
760000,314134.98022187134,-58.6664499708064,INDONESIA,2033
807000,318723.1042551546,-60.50519154211219,INDONESIA,2034
855000,322741.66270256974,-62.252437110810554,INDONESIA,2035
908000,326105.60179391614,-64.08528614604447,INDONESIA,2036
963000,329566.67293066997,-65.77708484624402,INDONESIA,2037
1026000,332332.0394625425,-67.60896301534673,INDONESIA,2038
57071,40308.53554056068,-29.371247147306544,SUMATERA,2020
62727,40803.23934915256,-34.95107473790783,SUMATERA,2021
68154,41631.20942888654,-38.91597055361895,SUMATERA,2022
74249,42494.23949827912,-42.76793021013196,SUMATERA,2023
82533,43114.48208636076,-47.76091734656349,SUMATERA,2024
90974,44219.46247225651,-51.39329646684051,SUMATERA,2025
101129,42170.39004664316,-58.30039845480213,SUMATERA,2026
113114,42919.17961314439,-62.056704198291634,SUMATERA,2027
120347,43739.451064628425,-63.65555347069023,SUMATERA,2028
128006,44687.27385412334,-65.08970372160418,SUMATERA,2029
135872,45718.72955187812,-66.35161802882263,SUMATERA,2030
145019,46023.19448243889,-68.2640243813301,SUMATERA,2031
154809,46458.860862024056,-69.9895607735829,SUMATERA,2032
164318,47067.6523562518,-71.35575386978189,SUMATERA,2033
175443,47577.99258451955,-72.88122490807865,SUMATERA,2034
186529,48105.66830632789,-74.21008620304195,SUMATERA,2035
199012,48448.18241144734,-75.65564769388412,SUMATERA,2036
211866,48788.38040875464,-76.97205761719454,SUMATERA,2037
226751,49115.97683084427,-78.33924576701126,SUMATERA,2038
203080,178995.03843937014,-11.85983925577598,JAWA,2020
217964,181451.49480726052,-16.751621915884954,JAWA,2021
229142,183416.86893774924,-19.954932339881278,JAWA,2022
240179,185734.34759945614,-22.66836501132233,JAWA,2023
252553,188775.84468720548,-25.252978706566353,JAWA,2024
264290,191859.89947874733,-27.40553956685938,JAWA,2025
281902,195099.7397221165,-30.79164400319384,JAWA,2026
